City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,20.14,57,100,0.89,US,1694809056
1,atafu village,-8.5421,-172.5159,28.27,73,20,5.49,TK,1694809056
2,oriximina,-1.7656,-55.8661,37.25,26,34,3.33,BR,1694809057
3,klyuchi,52.2667,79.1667,13.78,82,100,2.19,RU,1694809057
4,galeana,24.8333,-100.0667,28.25,35,14,5.97,MX,1694809057
5,holualoa,19.6228,-155.9522,26.97,77,40,3.6,US,1694809057
6,margaret river,-33.95,115.0667,14.55,89,100,3.64,AU,1694809058
7,iskateley,67.6803,53.1512,3.78,90,92,3.03,RU,1694809058
8,hamilton,39.1834,-84.5333,26.11,44,0,3.09,US,1694808891
9,papatowai,-46.5619,169.4708,11.44,36,100,4.04,NZ,1694809058
10,puerto natales,-51.7236,-72.4875,5.31,63,12,4.14,CL,1694809058
11,adamstown,-25.066,-130.1015,18.28,80,100,13.99,PN,1694809058
12,mejit,10.2753,170.8646,28.45,78,92,6.85,MH,1694809059
13,cabo san lucas,22.8909,-109.9124,37.01,58,0,5.14,MX,1694809059
14,dogondoutchi,13.6393,4.0287,30.94,51,100,3.11,NE,1694809059
15,prado,-17.3411,-39.2208,24.69,79,0,3.23,BR,1694809059
16,west island,-12.1568,96.8225,24.99,78,40,5.66,CC,1694808954
17,edinburgh of the seven seas,-37.0676,-12.3116,14.4,93,72,10.31,SH,1694809060
18,waitangi,-43.9535,-176.5597,9.34,73,100,4.47,NZ,1694809060
19,salina,38.8403,-97.6114,20.02,91,75,4.63,US,1694809060
20,catriel,-37.8791,-67.7956,25.54,20,97,14.13,AR,1694809060
21,grytviken,-54.2811,-36.5092,0.45,97,100,3.81,GS,1694808958
22,port-aux-francais,-49.35,70.2167,5.81,91,100,20.35,TF,1694809060
23,lebu,-37.6167,-73.65,12.59,97,100,7.1,CL,1694809061
24,blackmans bay,-43.0167,147.3167,11.07,90,100,4.97,AU,1694809061
25,turpan,42.9333,89.1667,23.29,35,90,1.23,CN,1694809061
26,inhapim,-19.5492,-42.12,23.33,76,95,1.8,BR,1694809061
27,ola,59.5833,151.2833,1.75,82,19,1.3,RU,1694809061
28,biloela,-24.4167,150.5,11.03,90,0,2.89,AU,1694809062
29,isafjordur,66.0755,-23.124,7.91,83,97,1.85,IS,1694809062
30,la dorada,5.4478,-74.6631,38.57,28,73,1.07,CO,1694809062
31,nemuro,43.3236,145.575,17.03,93,100,5.9,JP,1694809062
32,kapa'a,22.0752,-159.319,28.39,66,20,5.14,US,1694809062
33,hermanus,-34.4187,19.2345,11.56,68,68,12.48,ZA,1694809063
34,punta arenas,-53.15,-70.9167,7.06,53,40,6.17,CL,1694809063
35,whitehorse,60.7161,-135.0538,11.43,53,75,6.17,CA,1694809063
36,vikhorevka,56.1201,101.1636,5.77,71,9,0.87,RU,1694809063
37,gebeit,21.0667,36.3167,29.97,32,21,2.52,SD,1694809063
38,arraial do cabo,-22.9661,-42.0278,20.92,73,75,2.06,BR,1694809063
39,port elizabeth,-33.918,25.5701,13.39,87,40,13.89,ZA,1694808812
40,richards bay,-28.783,32.0377,22.1,63,2,3.03,ZA,1694809064
41,elmina,5.0898,-1.348,24.52,92,97,5.0,GH,1694809024
42,pailon,-17.65,-62.75,31.5,32,0,5.23,BO,1694809064
43,tondano,1.3038,124.9112,20.05,96,100,1.64,ID,1694809064
44,lihue,21.9789,-159.3672,27.98,70,20,5.14,US,1694809065
45,aykhal,66.0,111.5,-1.59,90,74,10.12,RU,1694809065
46,olonkinbyen,70.9221,-8.7187,3.34,76,8,4.75,SJ,1694809065
47,kingston,17.997,-76.7936,32.53,77,40,6.17,JM,1694809065
48,pacific grove,36.6177,-121.9166,23.55,84,75,3.09,US,1694809065
49,ushuaia,-54.8,-68.3,2.81,87,75,8.23,AR,1694809066
50,moses lake,47.1301,-119.2781,28.38,26,0,0.0,US,1694809066
51,port mathurin,-19.6833,63.4167,22.77,76,63,6.72,MU,1694809066
52,hue,16.4667,107.6,25.06,100,40,2.06,VN,1694809066
53,dryden,49.7833,-92.7503,16.16,67,75,5.14,CA,1694809066
54,hithadhoo,-0.6,73.0833,28.33,75,11,5.87,MV,1694809067
55,bubaque,11.2833,-15.8333,27.92,82,37,4.83,GW,1694809067
56,badger,64.8,-147.5333,9.99,85,75,2.06,US,1694809067
57,manismata,-2.4667,111.0333,22.86,92,46,1.36,ID,1694809067
58,codrington,-38.2667,141.9667,10.19,79,0,5.77,AU,1694809067
59,bethel,41.3712,-73.414,21.2,66,0,5.14,US,1694809067
60,isabela,6.7085,121.9711,25.89,84,97,1.14,PH,1694809068
61,uturoa,-16.7333,-151.4333,25.14,81,89,9.67,PF,1694809068
62,taroa,8.7058,171.2275,28.77,78,98,6.53,MH,1694809068
63,vila franca do campo,37.7167,-25.4333,21.23,99,100,6.12,PT,1694809068
64,bonthe,7.5264,-12.505,25.5,90,100,3.93,SL,1694809068
65,sainte-suzanne,-20.9061,55.6089,22.1,56,0,6.17,RE,1694809069
66,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,1694809069
67,st. john's,47.5649,-52.7093,21.27,96,100,6.69,CA,1694809069
68,amungan,15.3652,119.9582,26.3,79,48,1.55,PH,1694809069
69,tromso,69.6496,18.957,5.01,81,20,0.51,NO,1694809069
70,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,87,75,3.0,RU,1694809070
71,neiafu,-18.65,-173.9833,25.38,78,40,5.66,TO,1694809070
72,suntar,62.1444,117.6319,5.62,76,31,3.49,RU,1694809070
73,fortuna,40.5982,-124.1573,18.51,91,75,5.14,US,1694809070
74,alofi,-19.0595,-169.9187,23.94,64,75,5.14,NU,1694809070
75,selfoss,63.9331,-20.9971,8.36,88,89,3.16,IS,1694809071
76,hadibu,12.65,54.0333,26.49,82,68,7.45,YE,1694809071
77,la'ie,21.6477,-157.9253,30.03,73,8,2.68,US,1694809072
78,mangrol,21.1167,70.1167,26.91,84,99,5.23,IN,1694809072
79,college,64.8569,-147.8028,10.04,87,75,2.06,US,1694809072
80,tsiombe,-25.3,45.4833,22.28,67,0,1.46,MG,1694809073
81,smithers,54.7804,-127.1743,21.18,32,75,5.14,CA,1694809073
82,fort st. john,56.2499,-120.8529,24.94,20,40,5.66,CA,1694809073
83,porto velho,-8.7619,-63.9039,35.03,43,40,1.03,BR,1694808823
84,wailua homesteads,22.0669,-159.378,27.64,70,20,5.14,US,1694809073
85,juli,-16.2167,-69.45,13.38,21,5,5.53,PE,1694809073
86,xinmin,41.9908,122.8253,17.07,96,0,3.9,CN,1694808896
87,alderetes,-26.8167,-65.1333,30.95,22,0,5.66,AR,1694809074
88,dudinka,69.4058,86.1778,3.68,88,100,2.76,RU,1694809074
89,beihai,21.4833,109.1,26.23,91,100,6.06,CN,1694809074
90,tofol,5.3248,163.0078,28.71,74,92,2.84,FM,1694809074
